,Price,Land Area (Aana),Road Access (Feet),FACING,FLOOR,BEDROOM,BATHROOM,Street,District,House Age
0,17.182806422433504,4.0,12.0,west,2.5,5,4,imadol,lalitpur,5
1,17.6762402900575,3.0,10.0,west,2.5,5,6,satdobato,lalitpur,5
2,16.806230339945976,2.3,10.0,west,2.5,4,4,imadol,lalitpur,21
3,17.50439003707821,7.0,12.0,north west,2.5,4,3,bhaisepati,lalitpur,22
4,16.300417291085605,6.0,20.0,south,2.5,4,4,maharajgunj,kathmandu,10
5,17.11134746100564,6.0,12.0,south east,2.5,6,5,bhaisepati,lalitpur,5
6,17.312018149733785,3.2,13.0,north west,2.5,4,3,bhaisepati,lalitpur,7
7,17.50439003707821,4.3,14.0,north east,2.5,5,4,budhanilkantha,kathmandu,16
8,17.622173069956816,2.2,10.0,west,2.5,9,5,gyaneshwor,kathmandu,15
9,17.216707972959764,5.0,12.0,east,2.5,5,5,bhaisepati,lalitpur,6
10,17.725531580761828,5.2,13.0,north east,2.5,6,5,imadol,lalitpur,2
11,17.01418371633128,3.0,16.0,south,2.5,4,2,kharibot,kathmandu,11
12,17.034386422832473,4.0,13.0,south east,2.5,4,5,bafal,kathmandu,3
13,17.565014657424058,4.0,20.0,south east,2.5,4,4,khumaltar,lalitpur,3
14,17.989897843244528,6.2,12.0,south east,2.5,4,5,bhaisepati,lalitpur,4
15,17.399029524198163,4.2,13.0,south west,2.5,4,5,bhaisepati,lalitpur,4
16,17.87595358575207,5.0,14.0,north west,2.5,6,6,khumaltar,lalitpur,3
17,17.034386422832473,3.2,12.0,south east,2.5,5,7,bhaisepati,lalitpur,3
18,17.6867115897055,5.2,16.0,south east,2.5,4,4,bhaisepati,lalitpur,4
19,17.989897843244528,4.1,20.0,north,2.5,4,5,tahachal,kathmandu,4
20,17.989897843244528,9.6,14.0,north east,2.5,5,5,dhapasi,kathmandu,4
21,17.989897843244528,7.0,12.0,east,2.5,5,7,thecho,lalitpur,3
22,17.822843761378564,5.0,12.0,north east,2.5,4,5,bhaisepati,lalitpur,3
23,17.6762402900575,3.1,20.0,south,2.5,4,4,bhaisepati,lalitpur,6
24,17.19990085520835,3.2,13.0,south,2.5,5,4,imadol,lalitpur,6
25,17.96655047961095,5.0,10.0,north west,2.5,5,3,sanepa,lalitpur,3
26,17.989897843244528,7.0,13.0,west,2.5,5,6,bhaisepati,lalitpur,6
27,17.989897843244528,10.7,12.0,south,2.5,4,4,maharajgunj,kathmandu,3
28,17.974393656948944,7.0,20.5,east,2.5,4,4,bhaisepati,lalitpur,6
29,17.370858648025116,4.0,20.0,north,2.5,3,4,sunakothi,lalitpur,1
30,16.906553056777135,3.0,16.0,south,2.5,6,5,kapan,kathmandu,3
31,17.439851517607305,3.0,16.0,south,2.5,4,4,dhobighat,lalitpur,3
32,17.989897843244528,6.0,20.0,south,2.5,5,4,hattiban,lalitpur,3
33,17.822843761378564,4.2,13.0,south east,2.5,6,7,satdobato,lalitpur,4
34,17.822843761378564,3.3,13.0,south west,2.5,4,4,bhaisepati,lalitpur,6
35,17.989897843244528,9.0,20.0,south west,2.5,5,5,sanepa,lalitpur,3
36,17.989897843244528,10.7,13.0,north,2.5,7,7,budhanilkantha,kathmandu,7
37,17.278116599103036,4.1,13.0,south,2.5,5,3,imadol,lalitpur,3
38,17.034386422832473,3.0,13.0,west,2.5,4,3,sitapaila,kathmandu,7
39,17.989897843244528,10.7,20.0,west,2.5,4,4,pokhara,kaski,1
40,17.95067713070663,6.4,13.0,north west,2.5,5,6,bhaisepati,lalitpur,3
41,17.989897843244528,10.7,12.0,north,2.5,7,7,budhanilkantha,kathmandu,3
42,17.147715103853763,2.2,12.0,north,2.5,4,4,hattiban,lalitpur,3
43,17.90818707978017,7.0,20.0,east,2.5,5,5,imadol,lalitpur,3
44,17.6867115897055,5.0,20.5,south,2.5,6,4,bhaisepati,lalitpur,3
45,17.034386422832473,3.1,13.0,north,2.5,5,3,imadol,lalitpur,5
46,17.32705602664604,5.0,19.0,west,2.5,4,2,sanepa,lalitpur,5
47,17.370858648025116,5.0,19.0,north west,2.5,4,3,sanepa,lalitpur,6
48,17.50439003707821,4.0,18.0,north east,2.5,4,5,bhaisepati,lalitpur,5
49,17.909855136853043,7.0,13.0,east,2.5,5,3,nakhipot,lalitpur,5
50,17.034386422832473,3.5,12.0,west,2.5,4,4,imadol,lalitpur,10
51,17.11134746100564,3.3,12.0,east,2.5,5,4,imadol,lalitpur,3
52,17.129696599000436,3.0,12.0,north,2.5,5,4,gwarko,lalitpur,7
53,17.989897843244528,10.7,16.0,south east,2.5,5,5,budhanilkantha,kathmandu,4
54,17.296750678069195,3.3,15.0,north east,2.5,6,4,hattiban,lalitpur,4
55,17.147715103853763,3.1,13.0,south west,2.5,5,4,hattiban,lalitpur,3
56,17.249497794707484,3.2,12.0,west,2.5,6,4,imadol,lalitpur,3
57,17.50439003707821,5.0,13.0,south,2.5,4,4,baneshwor,kathmandu,4
58,17.370858648025116,6.0,15.0,north,2.5,3,3,tokha,kathmandu,6
59,17.265498135541893,5.2,20.0,east,2.5,6,5,imadol,lalitpur,3
60,17.182806422433504,3.2,13.0,south,2.5,6,6,ochu heights,lalitpur,4
61,17.565014657424058,4.2,20.0,east,2.5,5,4,imadol,lalitpur,3
62,17.65496289206296,4.0,12.0,south east,2.5,4,4,bhaisepati,lalitpur,7
63,17.50439003707821,4.0,20.0,north,2.5,5,4,bhaisepati,lalitpur,1
64,17.90148688732258,5.0,16.0,north east,2.5,6,5,sanepa,lalitpur,3
65,17.479072229734946,5.0,13.0,east,2.5,4,4,nakkhu,lalitpur,3
66,17.281246492014,4.0,13.0,east,2.5,8,3,setipakha,lalitpur,3
67,17.296750678069195,4.0,13.0,east,2.5,8,3,setipakha,lalitpur,4
68,17.75709238505144,7.1,20.0,south,2.5,4,4,sunakothi,lalitpur,7
69,17.370858648025116,4.0,10.0,south,2.5,8,6,kalanki,kathmandu,6
70,17.296750678069195,4.3,20.0,east,2.5,4,4,imadol,lalitpur,3
71,17.281246492014,3.1,13.0,north,2.5,5,6,bhangal,kathmandu,7
72,17.822843761378564,5.2,13.0,south,2.5,5,3,sukedhara,kathmandu,6
73,16.951004817371683,2.3,13.0,east,2.5,5,3,setipakha,lalitpur,7
74,16.648723960844016,3.3,20.0,east,2.5,3,3,chandragiri,kathmandu,3
75,16.993564429978885,2.3,13.0,south,2.5,5,4,imadol,lalitpur,4
76,17.129696599000436,4.0,13.0,south,2.5,4,4,tikathali,lalitpur,7
77,16.929025911619092,3.2,13.0,south,2.5,4,3,tikathali,lalitpur,7
78,16.705882371415992,4.2,13.0,east,2.5,4,4,lubhu,lalitpur,3
79,17.034386422832473,3.2,14.0,south,2.5,3,3,imadol,lalitpur,4
80,16.61887099947687,3.1,13.0,north east,2.5,1,1,setipakha,lalitpur,7
81,17.747336210296442,6.3,12.0,south,2.5,5,5,bhaisepati,lalitpur,3
82,17.90818707978017,7.0,20.0,east,2.5,5,3,imadol,lalitpur,4
83,17.296750678069195,4.3,20.0,east,2.5,4,3,imadol,lalitpur,7
84,17.622173069956816,9.0,20.0,east,2.5,6,4,swayambhu,kathmandu,3
85,17.129696599000436,3.2,13.0,north,2.5,5,5,bhaisepati,lalitpur,4
86,16.357112630168974,4.0,13.0,east,2.5,2,1,sudal,bhaktapur,7
87,16.929025911619092,4.0,20.0,south east,2.5,4,4,baluwatar,kathmandu,13
88,17.926384438531027,6.0,18.0,south,2.5,6,4,bhaisepati,lalitpur,11
89,17.423722136111028,4.1,18.0,south,2.5,5,4,hattiban,lalitpur,2
90,16.951004817371683,2.3,20.0,east,2.5,3,2,sunakothi,lalitpur,11
91,17.281246492014,4.0,14.0,south,2.5,5,5,budhanilkantha,kathmandu,2
92,16.5563506464056,3.2,20.0,south west,2.5,6,3,nil barahi mandir,bhaktapur,3
93,17.565014657424058,4.2,13.0,west,2.5,7,6,dhapasi,kathmandu,1
94,17.989897843244528,7.0,20.5,east,2.5,9,4,katyani chowk,kathmandu,7
95,17.370858648025116,4.0,15.0,north,2.5,6,5,gaurighat,kathmandu,5
96,17.147715103853763,3.2,16.0,south,2.5,6,6,budhanilkantha,kathmandu,5
97,16.40327466837995,3.0,13.0,south,2.5,2,1,lubhu,lalitpur,4
98,14.557448378884015,4.0,20.0,north west,2.5,4,3,bhaisepati,lalitpur,11
100,16.588099342704055,2.2,13.0,south,2.5,4,2,imadol,lalitpur,6
101,17.034386422832473,3.1,13.0,west,2.5,4,4,harisiddhi,lalitpur,13
102,17.147715103853763,3.0,20.0,west,2.5,5,4,harisiddhi,lalitpur,5
103,17.11134746100564,3.2,14.0,south west,2.5,5,3,imadol,lalitpur,5
104,17.50188690692275,4.2,16.0,south,2.5,5,5,bhaisepati,lalitpur,5
105,17.725531580761828,5.0,16.0,south,2.5,4,4,bhaisepati,lalitpur,5
106,16.648723960844016,4.2,10.0,east,2.5,5,3,lubhu,lalitpur,5
107,17.565014657424058,3.3,20.0,south west,2.5,4,4,bhaisepati,lalitpur,5
108,16.648723960844016,3.0,13.0,west,2.5,4,2,sanagaun,lalitpur,4
109,14.557448378884015,10.7,16.0,east,2.5,5,5,budhanilkantha,kathmandu,7
110,17.77632374660947,5.0,20.0,south east,2.5,5,4,balkot,bhaktapur,5
111,14.690979711984754,10.7,20.0,missing,2.5,6,3,khumaltar,lalitpur,5
112,17.034386422832473,5.0,13.0,south,2.5,7,3,bageshwori,bhaktapur,7
113,17.281246492014,4.2,13.0,west,2.5,7,5,bhangal,kathmandu,2
114,17.034386422832473,3.2,18.0,south,2.5,6,3,tikathali,lalitpur,5
115,16.97251102166758,3.2,13.0,west,2.5,4,3,imadol,lalitpur,5
116,16.811242881518265,3.2,20.0,south,2.5,7,5,muhanpokhari,kathmandu,7
117,17.479072229734946,3.0,13.0,west,2.5,3,4,samakhusi,kathmandu,5
118,17.312018149733785,6.0,12.0,north,2.5,5,5,budhanilkantha,kathmandu,5
119,17.989897843244528,9.3,20.0,east,2.5,6,6,chandol,kathmandu,11
120,17.91484267828116,5.0,16.0,north,2.5,4,4,hepali heights,kathmandu,1
121,16.61887099947687,3.1,16.0,south,2.5,4,2,imadol,lalitpur,5
122,16.929025911619092,3.1,20.0,north west,2.5,4,4,imadol,lalitpur,5
123,17.312018149733785,6.2,13.0,south,2.5,6,5,hepali heights,kathmandu,5
124,17.989897843244528,9.1,16.0,south west,2.5,8,6,mandikhatar,kathmandu,5
125,17.129696599000436,3.1,13.0,west,2.5,5,3,imadol,lalitpur,4
126,17.1654146803266,3.2,12.0,east,2.5,6,5,bojepokhari,lalitpur,4
127,14.557448378884015,5.1,12.0,south west,2.5,7,5,ranibari,kathmandu,7
128,17.265498135541893,4.0,14.0,east,2.5,6,5,hattigaunda,kathmandu,1
129,17.129696599000436,4.0,13.0,north,2.5,7,4,tikathali,lalitpur,8
130,16.97251102166758,3.0,13.0,east,2.5,6,4,imadol,lalitpur,7
131,17.182806422433504,5.2,20.0,north east,2.5,6,4,thaiba,lalitpur,7
132,17.05418904934434,3.0,13.0,north,2.5,6,5,tikathali,lalitpur,7
133,17.296750678069195,4.0,20.0,north,2.5,3,4,imadol,lalitpur,5
134,17.11134746100564,3.3,13.0,east,2.5,5,4,imadol,lalitpur,5
135,17.01418371633128,3.1,13.0,west,2.5,4,4,imadol,lalitpur,8
136,17.989897843244528,10.7,20.0,west,2.5,5,4,baneshwor,kathmandu,9
137,17.19990085520835,4.2,13.0,north,2.5,5,5,imadol,lalitpur,8
139,17.034386422832473,4.0,12.0,north east,2.5,5,3,lasuntar,kathmandu,1
140,17.473930830366697,4.0,10.0,east,2.5,5,7,dhapakhel,lalitpur,9
141,17.622173069956816,6.0,13.0,south,2.5,6,3,khumaltar,lalitpur,7
142,16.993564429978885,2.3,13.0,east,2.5,4,4,imadol,lalitpur,8
143,16.951004817371683,2.2,13.0,north,2.5,4,4,imadol,lalitpur,8
144,17.0926553286923,4.0,13.0,south west,2.5,4,5,imadol,lalitpur,7
145,17.281246492014,4.1,13.0,north west,2.5,5,4,tikathali,lalitpur,5
146,17.182806422433504,3.0,13.0,east,2.5,5,5,imadol,lalitpur,5
147,17.129696599000436,3.0,20.0,west,2.5,6,4,imadol,lalitpur,7
148,17.05418904934434,3.2,13.0,north east,2.5,6,6,tikathali,lalitpur,8
149,17.129696599000436,3.1,13.0,west,2.5,5,5,imadol,lalitpur,8
150,17.341871111992198,3.2,20.5,west,2.5,5,4,imadol,lalitpur,5
151,17.129696599000436,3.2,20.0,east,2.5,4,4,nakkhu,lalitpur,5
152,17.565014657424058,4.1,20.0,north east,2.5,5,3,imadol,lalitpur,8
153,16.588099342704055,5.2,13.0,north east,2.5,4,3,sanagaun,lalitpur,11
154,17.385043282614657,3.2,13.0,north,2.5,6,4,samakhushi chowk,kathmandu,2
155,17.129696599000436,3.0,13.0,north east,2.5,6,4,imadol,lalitpur,9
156,17.893048018819147,7.1,20.0,east,2.5,6,5,lubhu,lalitpur,7
157,17.1654146803266,4.0,20.0,north west,2.5,4,3,bhaisepati,lalitpur,5
158,17.129696599000436,4.0,12.0,west,2.5,5,3,taukhel,lalitpur,5
159,15.607270193858982,10.7,15.0,south,2.5,6,4,naxal,kathmandu,8
160,17.147715103853763,3.1,13.0,south,2.5,6,4,hattiban,lalitpur,11
161,17.296750678069195,4.0,14.0,north west,2.5,6,4,hattiban,lalitpur,18
162,17.479072229734946,4.2,13.0,east,2.5,6,5,sundarbasti,kathmandu,10
163,15.76142084987672,4.2,20.0,east,2.5,3,1,nakkhu,lalitpur,16
164,17.565014657424058,4.0,20.0,west,2.5,4,6,narayanthan,kathmandu,15
165,17.341871111992198,4.1,13.0,south west,2.5,5,4,katunje,bhaktapur,9
166,17.137664768361013,10.7,20.0,north east,2.5,9,8,bauthali,kathmandu,23
167,17.6762402900575,7.0,20.0,east,2.5,4,5,dhapasi,kathmandu,13
168,14.557448378884015,4.0,13.0,east,2.5,3,3,chabahil,kathmandu,7
169,16.231424425551033,10.7,12.0,south,2.5,5,6,budhanilkantha,kathmandu,9
170,17.356469910987094,3.3,13.0,north east,2.5,4,4,sundarbasti,kathmandu,9
171,14.557448378884015,5.0,20.0,south,2.5,5,2,naya bazar,kathmandu,11
172,14.557448378884015,6.0,20.0,south,2.5,3,3,hattiban,lalitpur,11
173,14.557448378884015,0.0,12.0,east,2.5,3,3,grande villa,kathmandu,7
174,17.182806422433504,6.1,20.0,west,2.5,9,4,nayapati,kathmandu,5
175,17.0926553286923,2.9,13.0,south west,2.5,5,4,imadol,lalitpur,5
176,16.52356082573315,6.0,15.0,south,2.5,4,4,satdobato,lalitpur,17
177,17.565014657424058,4.2,16.0,south east,2.5,7,5,nakhipot,lalitpur,22
178,17.553180200057167,4.2,12.0,south,2.5,6,5,khumaltar,lalitpur,11
179,17.129696599000436,3.2,20.0,south,2.5,7,6,basundhara,kathmandu,5
180,17.19990085520835,4.2,16.0,north,2.5,5,4,jyotinagar,kathmandu,7
181,17.622173069956816,2.2,20.5,east,2.5,7,4,kuleshwor,kathmandu,16
182,16.860033043306743,7.0,14.0,south,2.5,4,4,bansbari,kathmandu,9
183,17.479072229734946,4.3,16.0,north,2.5,6,4,khumaltar,lalitpur,11
184,17.129696599000436,4.0,20.0,south east,2.5,4,4,bhaisepati,lalitpur,11
185,17.6441519761925,7.2,13.0,south,2.5,4,5,dhapasi,kathmandu,10
187,16.993564429978885,3.2,13.0,east,2.5,6,5,bhangal,kathmandu,11
188,17.909855136853043,10.2,13.0,south west,2.5,8,5,mahadevtar,kathmandu,9
189,17.46616882523204,4.2,13.0,east,2.5,6,5,budhanilkantha,kathmandu,9
190,17.147715103853763,4.0,13.0,west,2.5,5,4,pasikot,kathmandu,5
191,17.216707972959764,4.2,14.0,east,2.5,5,4,bhaisepati,lalitpur,5
192,16.951004817371683,2.3,13.0,north,2.5,3,4,imadol,lalitpur,17
193,17.073607134447293,3.0,20.0,east,2.5,5,3,satdobato,lalitpur,17
194,17.05418904934434,3.0,12.0,east,2.5,5,5,budhanilkantha,kathmandu,11
196,17.72753358339242,8.0,20.0,east,2.5,5,3,banasthali,kathmandu,7
197,14.557448378884015,8.0,10.0,south,2.5,3,3,tokha,kathmandu,16
198,17.312018149733785,5.2,13.0,east,2.5,4,4,hattigaunda,kathmandu,11
199,15.473738825043979,10.7,20.0,south,2.5,4,3,pasikot,kathmandu,16
200,16.588099342704055,2.2,13.0,west,2.5,4,4,phutung,kathmandu,11
201,14.557448378884015,10.7,14.0,south,2.5,9,6,mandikhatar,kathmandu,12
202,14.557448378884015,5.2,20.5,east,2.5,4,4,basundhara,kathmandu,10
